"Product","Blackbox flight data recorder by Nicholas Sherlock"
"firmwareType",3
"firmware","3.3"
"firmwarePatch",3
"firmwareVersion","3.3.3"
"Firmware revision","Betaflight 3.3.3 (a2d5a6482) MATEKF722"
"Firmware date","Apr 16 2020 13:44:31"
"Log start datetime","0000-01-01T00:00:00.000+00:00"
"Craft name","neuroflight"
"frameIntervalI",32
"frameIntervalPNum",1
"frameIntervalPDenom",1
"minthrottle",1070
"maxthrottle",2000
"gyroScale",1.7453292519943295e-8
"motorOutput","138,2047"
"acc_1G",0
"vbatscale",110
"vbatmincellvoltage",33
"vbatwarningcellvoltage",35
"vbatmaxcellvoltage",43
"vbatref",152
"currentMeterOffset",0
"currentMeterScale",179
"looptime",250
"gyro_sync_denom",2
"pid_process_denom",4
"thrMid",50
"thrExpo",0
"dynThrPID",10
"tpa_breakpoint",1650
"rc_rates","100,100,100"
"rc_expo","0,0,0"
"rates","70,70,70"
"rollPID","40,40,30"
"pitchPID","58,50,35"
"yawPID","70,45,20"
"altPID","50,0,0"
"posPID","15,0,0"
"posrPID","34,14,53"
"navrPID","25,33,83"
"levelPID","50,50,75"
"magPID","40,,"
"velPID","55,55,75"
"dterm_filter_type",1
"dterm_lpf_hz",100
"yaw_lpf_hz",0
"dterm_notch_hz",260
"dterm_notch_cutoff",160
"itermWindupPointPercent",50
"vbat_pid_compensation",0
"pidAtMinThrottle",1
"anti_gravity_threshold",350
"anti_gravity_gain",1000
"setpointRelaxRatio",100
"dtermSetpointWeight",0
"yawRateAccelLimit",0.1
"rateAccelLimit",0
"pidSumLimit",500
"pidSumLimitYaw",400
"deadband",0
"yaw_deadband",0
"gyro_lpf",0
"gyro_soft_type",0
"gyro_lowpass_hz",100
"gyro_notch_hz","400,200"
"gyro_notch_cutoff","300,100"
"acc_lpf_hz",1000
"acc_hardware",1
"baro_hardware",1
"mag_hardware",1
"gyro_cal_on_first_arm",0
"rc_interpolation",2
"rc_interpolation_interval",19
"airmode_activate_throttle",32
"serialrx_provider",2
"unsynced_fast_pwm",0
"fast_pwm_protocol",7
"motor_pwm_rate",480
"digitalIdleOffset",450
"debug_mode",31
"features",4457480
"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisD[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","vbatLatest","amperageLatest","rssi","gyroADC[0]","gyroADC[1]","gyroADC[2]","debug[0]","debug[1]","debug[2]","debug[3]","motor[0]","motor[1]","motor[2]","motor[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]"
0,10991188,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,1,1,-1,0,0,-3236,0,138,183,157,119,"","","","","",0,0,4.396484403227008,0,0,0,0,0,-4,0,1,1,3,"",""
1,10992562,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,1,1,-1,0,0,-3236,0,145,174,159,119,1,8,0,1,1,0,0,4.39650838405135,0,0,0,0,0,-4,0,1,1,3,"",""
2,10994059,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,0,1,-2,0,0,-3236,0,148,166,156,119,1,8,0,1,1,0,0,4.396560639209177,0,0,0,0,0,-4,0,0,1,2,"",""
3,10995547,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,1,1,-2,0,0,-3236,0,146,164,144,119,1,8,0,1,1,0,0,4.3966125815096095,0,0,0,0,0,-4,0,1,1,2,"",""
4,10996893,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,1,1,-3,0,0,-3236,0,155,159,146,119,1,8,0,1,1,0,0,4.396683059692654,0,0,0,0,0,-4,0,1,1,1,"",""
5,10998239,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,1,0,-3,0,0,-3236,0,162,155,148,119,1,8,0,1,1,0,0,4.396753538427222,0,0,0,0,0,-4,0,1,0,1,"",""
6,10999583,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,1,0,-3,0,0,-3236,0,161,156,139,119,1,8,0,1,1,0,0,4.396823912438432,0,0,0,0,0,-4,0,1,0,1,"",""
7,11000940,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,1,0,-3,0,0,-3236,0,162,151,137,119,1,8,0,1,1,0,0,4.396894967150472,0,0,0,0,0,-4,0,1,0,1,"",""
8,11002305,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,1,0,-3,0,0,-3236,0,170,152,138,119,1,8,0,1,1,0,0,4.396966440755223,0,0,0,0,0,-4,0,1,0,1,"",""
9,11003662,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,1,0,-3,0,0,-3236,0,171,154,136,119,1,8,0,1,1,0,0,4.397037495466802,0,0,0,0,0,-4,0,1,0,1,"",""
10,11005006,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,1,0,-3,0,0,-3236,0,166,154,132,119,1,8,0,1,1,0,0,4.397107869477098,0,0,0,0,0,-4,0,1,0,1,"",""
11,11006366,0,0,0,0,0,0,0,0,0,0,0,-8,1000,151,0,512,1,0,-3,0,0,-3236,0,176,163,135,119,1,8,0,1,1,0,0,4.397179081272903,0,0,0,0,0,-4,0,1,0,1,"",""
